   209 |   4838.5 |         1224.693 |         1261.360 |                  |  no    
   210 |   4838.4 |         1224.789 |         1261.139 |                  |  no    
   211 |   4837.8 |         1224.784 |         1260.896 |                  |  no    
   212 |   4838.1 |         1224.778 |         1261.145 |                  |  no    
   213 |   4838.3 |         1224.652 |         1261.026 |                  |  no    
   214 |   4838.3 |         1224.615 |         1261.204 |                  |  no    
   215 |   4838.3 |         1224.507 |         1260.967 |                  |  no    
   216 |   4838.3 |         1224.616 |         1260.891 |                  |  no    
   217 |   4838.1 |         1224.575 |         1261.408 |                  |  no    
   218 |   4838.6 |         1224.655 |         1260.711 |                  |  no    
   219 |   4838.3 |         1224.390 |         1261.157 |                  |  no    
   220 |   4838.0 |         1224.359 |         1261.069 |                  |  no    
   221 |   4838.0 |         1224.355 |         1261.026 |                  |  no    
   222 |   4838.3 |         1224.517 |         1261.457 |                  |  no    
   223 |   4838.2 |         1224.502 |         1261.079 |                  |  no    
   224 |   4838.4 |         1224.327 |         1261.385 |                  |  no    
   225 |   4838.0 |         1224.469 |         1261.375 |                  |  no    
   226 |   4838.3 |         1224.506 |         1261.476 |                  |  no    
   227 |   4838.0 |         1224.286 |         1261.143 |                  |  no    
   228 |   4838.1 |         1224.385 |         1261.539 |                  |  no    
   229 |   4838.2 |         1224.388 |         1261.420 |                  |  no    
   230 |   4838.2 |         1224.536 |         1260.994 |                  |  no    
   231 |   4838.3 |         1224.194 |         1261.260 |                  |  no    
   232 |   4838.2 |         1224.369 |         1261.068 |                  |  no    
   233 |   4838.2 |         1224.320 |         1261.124 |                  |  no    
   234 |   4838.2 |         1224.042 |         1261.319 |                  |  no    
